num_clients,fraction_fit,seed,round,accuracy,loss
5,0.5,1,3,0.7619,0.6055139536484362
5,0.5,1,4,0.7872,0.547093255451312
5,0.5,1,5,0.8081,0.5046021610784074
5,0.5,1,6,0.8243,0.4832201038781827
5,0.5,1,7,0.8319,0.461190813313277
5,0.5,1,8,0.8393,0.4481300883495008
5,0.5,1,9,0.8422,0.43803658474462864
5,0.5,1,10,0.8437,0.4288119456876581
5,0.5,2,0,0.1001,2.30675594875226
5,0.5,2,1,0.2549,2.25005866315799
5,0.5,2,2,0.7484,0.7861400117127659
5,0.5,2,3,0.7881,0.5459465511119403
5,0.5,2,4,0.8113,0.4963571019351673
5,0.5,2,5,0.8298,0.46323069096944586
5,0.5,2,6,0.8418,0.4434879225092574
5,0.5,2,7,0.8436,0.4267121590554905
5,0.5,2,8,0.8467,0.41409551871184724
5,0.5,2,9,0.8541,0.4058485923769375
5,0.5,2,10,0.853,0.40484289625010933
5,0.5,3,0,0.0247,2.305924684475786
5,0.5,3,1,0.2219,2.237697204461875
5,0.5,3,2,0.7024,0.8748151997026925
5,0.5,3,3,0.7724,0.591650022866246
5,0.5,3,4,0.793,0.5331500336861077
5,0.5,3,5,0.8154,0.49134994038758567
5,0.5,3,6,0.8248,0.46665390945090274
5,0.5,3,7,0.8338,0.4498859947196211
5,0.5,3,8,0.8361,0.4329111091911602
5,0.5,3,9,0.8424,0.42239743661575807
5,0.5,3,10,0.843,0.423653547994245
5,0.5,4,0,0.0993,2.304434460192062
5,0.5,4,1,0.3943,2.0524724043977147
5,0.5,4,2,0.7241,0.7457388816550136
5,0.5,4,3,0.7728,0.5660512492584344
5,0.5,4,4,0.7952,0.5204272825782672
5,0.5,4,5,0.8178,0.48396728585322446
5,0.5,4,6,0.8255,0.4655321816000314
5,0.5,4,7,0.8333,0.4439377981824235
5,0.5,4,8,0.8368,0.43920688635815447
5,0.5,4,9,0.8447,0.4218988229101077
5,0.5,4,10,0.847,0.4144505485654258
5,1.0,0,0,0.0905,2.3022708108249943
5,1.0,0,1,0.2201,2.1478656419930746
5,1.0,0,2,0.7128,0.8270943998909606
5,1.0,0,3,0.7717,0.5771384855238394
5,1.0,0,4,0.7925,0.5262260636963403
