num_clients,seed,round,accuracy,loss
10,3,1,0.19,2.281209899975469
10,3,2,0.4813,1.8183428269986528
10,3,3,0.5405,1.280302787550722
10,3,4,0.5498,1.160043370419036
10,3,5,0.5974,1.1224902561678292
10,3,6,0.6179,1.1080070421718562
10,3,7,0.6224,1.094198794981923
10,3,8,0.6349,1.1110616773843003
10,3,9,0.6473,1.080019796142182
10,3,10,0.6603,1.06652917448705
10,4,0,0.1001,2.306245707094479
10,4,1,0.1,2.2945542213634944
10,4,2,0.3293,1.8658484997459874
10,4,3,0.5127,1.3517038909771952
10,4,4,0.5641,1.15072875034314
10,4,5,0.5867,1.0973558584912517
10,4,6,0.5973,1.0110103768852954
10,4,7,0.6117,1.0135769857385288
10,4,8,0.6263,0.9672200997797445
10,4,9,0.6477,0.9336248860953335
10,4,10,0.6522,0.9387105542440384
20,0,0,0.1001,2.3047539250919233
20,0,1,0.1907,2.281176976883373
20,0,2,0.4135,1.754612520099067
20,0,3,0.5384,1.3086998346514596
20,0,4,0.5844,1.1489945625344786
20,0,5,0.5801,1.1304394560880935
20,0,6,0.6126,1.0755258267299055
20,0,7,0.6182,1.082690815003916
20,0,8,0.6275,1.0871117923396845
20,0,9,0.6301,1.083744986274372
20,0,10,0.6318,1.107020975682682
20,1,0,0.1008,2.3038526183119217
20,1,1,0.1074,2.284348214396273
20,1,2,0.3523,1.7770731784284306
20,1,3,0.4873,1.4290366460340092
20,1,4,0.5504,1.229564181531961
20,1,5,0.5707,1.1774626478981287
20,1,6,0.5913,1.1357158631943285
20,1,7,0.6324,1.1119681450124748
20,1,8,0.6426,1.1284832524034543
20,1,9,0.6423,1.097678667249771
20,1,10,0.6463,1.073093956556564
20,2,0,0.1,2.3045599727204054
20,2,1,0.1,2.291162698032757
20,2,2,0.4129,1.8498346390434728
20,2,3,0.507,1.4129052070763926
20,2,4,0.5579,1.2359145805477716
20,2,5,0.5667,1.1877732269299297
20,2,6,0.6053,1.1218721561919387
20,2,7,0.6332,1.0731157653819259
20,2,8,0.6425,1.0191282190073032
20,2,9,0.6559,1.0086314447771627
20,2,10,0.6724,0.9493624850774345
20,3,0,0.1375,2.3013221950957568
20,3,1,0.1718,2.2744340797582754
20,3,2,0.3998,1.7634206416127018
20,3,3,0.5476,1.2591055414547174
20,3,4,0.5997,1.138868920909711
20,3,5,0.6187,1.1163320560424854
20,3,6,0.6414,1.0861295194100267
20,3,7,0.6351,1.0238968549064174
20,3,8,0.6291,1.0320141955305593
20,3,9,0.6448,1.0406932646093277
20,3,10,0.6551,1.006963191893154
20,4,0,0.1001,2.30343917916758
20,4,1,0.1,2.2911153913686833
20,4,2,0.2884,1.8597231722487428
20,4,3,0.5331,1.3788410579434598
20,4,4,0.5685,1.1909302408321978
20,4,5,0.6032,1.1535907775258865
20,4,6,0.5983,1.1097562974824693
20,4,7,0.617,1.0646817693695092
20,4,8,0.6197,1.0638944178153151
20,4,9,0.6225,1.0681639661232885
20,4,10,0.6238,1.0647685452581594
